rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
4.0,Four Stars,Pretty cool!!!<br /><br />Thanks Amazon.,[],B00ZV9RDKK,B075X8471B,AEM663T6XHZFWLODF4US2RCOCUSA,1509491262120,0,True
5.0,Five Stars,We love it,[],B00ZV9RDKK,B075X8471B,AEJDETWITK2KGACH7FUBMY33PPSQ,1519939757127,0,True
5.0,AWESOME and simple to set up,"i have hemmed and hawed for quite a while  about  a Fire Stick or a Roku ......do i, dont i, do i dont i ........i barely watch TV and my TV in the room where i spend most of my time in has only one HDMI port .. so i finally got it on prime day for only 20 bucks and put it on my bedroom TV .. the thing is when im watching TV i fall asleep !!!  but it was SIMPLE to set up and  i only downloaded a few apps so far  like Netflix, Youtube and FB  HAHA  .. i already pay enough for cable  so now i gotta figure out is it worth it to dump cable and get hulu or sling i dont want to lose the channels i have now though  I have to investigate as to what hulu and sling actually offer as far as channels go  and of course the reg channels  cuz then if that's the case i'd buy another Fire Stick for my other 2 TVS and toss the cable bill !",[],B00ZV9RDKK,B075X8471B,AHGAOIZVODNHYMNCBV4DECZH42UQ,1532476996921,0,True
4.0,Fire Stick Works great but can interfere with TV antenna if you're using one,"Oct 2017 Review Update:  Amazon has done a great job updating the Fire Stick software, and all of my complaints from my initial review have been fixed.  The Menus and Voice Interface are intuitive, easy to use, and do what you'd expect.",[],B00ZV9RDKK,B075X8471B,AEDHXXX2F66EMWOSSPCQHS62UKNQ,1482384682000,1,True
5.0,Would absolutely buy again for another tv,"Love love love. Used to have Google Chromecast, this is 100x better quality and easier to use.",[],B00ZV9RDKK,B075X8471B,AH2CJIKJPIIRDG264ZWX2UUQN5SQ,1522244290750,0,True
5.0,Easy to setup,I love this product!,[],B00ZV9RDKK,B075X8471B,AGJY4LG74YJEJBVWIPIMIZ464ELA,1537322362789,0,True
2.0,Sporadic and unreliable.,Works when it feels like it.,[],B00ZV9RDKK,B075X8471B,AFPBTK4XMHY7YEPVLM7LWU4WL4WQ,1580452123296,0,True
5.0,best investment in years,"since I'm already a prime member, and I'm willing to pay a little fee every month for Netflix as well, we're hardly watching any network television but also aren't paying ridiculous fees for 101 channels we never watch.  more than enough good and intelligent and fun content to keep me well occupied on those long winter evenings.",[],B00ZV9RDKK,B075X8471B,AGDCD2ZNYMDZAVQKQ3RZ56LJTRVQ,1547331673894,0,True
2.0,"Alexa - ""I can't do that from Fire TV"" Garbage Product","Maybe it's just me as an older guy, but I really wasn't expecting this. Unlike ANY remote I've ever used. NO control over TV volume, mute, 'back', numbers for channel, etc. Nope, this thing (streaming) is NOT intuitive to use, freezes, pixelates, is slow to change channels, and is a pain to use. &#34;Alexa&#34; has more of &#34;I cannot do that for_____ reason&#34; than it has use. Alexa listens to me about as well as an old deaf dog! Useless 80% of the time. If I'd have known all this I would have probably gone with an antenna and free, over-the-air TV viewing. I hate this thing and &#34;help&#34; is a matter of luck with no humans involved. I have to have my 16 y.o. grandson help with some things. Get ready to carry a bunch of remotes and such (Fire control, TV remote and cordless phone if you carry that around). I really, really don't like this POS!",[],B00ZV9RDKK,B075X8471B,AHU2Y2ZFQKI3V3ARFDKZA6ER4NUQ,1532876804570,0,True
5.0,Love my Stick,Easy to install and download apps.,[],B00ZV9RDKK,B075X8471B,AERD2GHAB5VZHTHUVMVAYUHL4CYA,1494716560000,0,True
